0,9.8207e-05,0,0.0040315,-5.0401,2.6222e-06
0.005,0.00049006,0.016558,0.02059,-5.0401,1.5148e-05
0.01,0.0012708,0.023948,0.027979,-5.0401,2.7904e-05
0.015,0.0024366,0.029643,0.033674,-5.0401,3.9428e-05
0.02,0.0039836,0.034181,0.038211,-5.0401,4.9104e-05
0.025,0.0059079,0.038005,0.042035,-5.0401,5.6821e-05
0.03,0.0082057,0.041552,0.045582,-5.0401,6.2798e-05
0.035,0.010873,0.044703,0.048732,-5.0401,6.7105e-05
0.04,0.013907,0.046814,0.050843,-5.0401,6.9361e-05
0.045,0.017303,0.048575,0.052603,-5.0401,6.9774e-05
0.05,0.021057,0.050245,0.054273,-5.0401,6.866e-05
0.055,0.025167,0.051998,0.056027,-5.0401,6.6347e-05
0.06,0.029628,0.053964,0.057993,-5.0401,6.3141e-05
0.065,0.034436,0.056174,0.060203,-5.0401,5.9273e-05
0.07,0.039589,0.05868,0.06271,-5.0401,5.4929e-05
0.075,0.045082,0.06149,0.06552,-5.0401,5.0245e-05
0.08,0.050912,0.06433,0.06836,-5.0401,4.5129e-05
0.085,0.057076,0.067368,0.071398,-5.0401,3.9634e-05
0.09,0.06357,0.070656,0.074687,-5.0401,3.3835e-05
0.095,0.07039,0.074233,0.078264,-5.0401,2.7806e-05
0.1,0.077534,0.07812,0.082152,-5.0401,2.1616e-05
0.105,0.084997,0.082333,0.086364,-5.0401,1.5322e-05
0.11,0.092777,0.08688,0.090911,-5.0401,8.9704e-06
0.115,0.10087,0.091767,0.095798,-5.0401,2.599e-06
0.12,0.10927,0.096998,0.10103,-5.0401,-3.763e-06
0.125,0.11798,0.10261,0.10664,-5.0401,-1.007e-05
0.13,0.127,0.10862,0.11265,-5.0401,-1.6277e-05
0.135,0.13631,0.11504,0.11907,-5.0401,-2.2344e-05
0.14,0.14592,0.12187,0.1259,-5.0401,-2.8239e-05
0.145,0.15582,0.12913,0.13316,-5.0401,-3.3932e-05
0.15,0.16601,0.13681,0.14084,-5.0401,-3.9403e-05
0.155,0.17649,0.14491,0.14894,-5.0401,-4.4635e-05
0.16,0.18726,0.15344,0.15747,-5.0401,-4.9617e-05
0.165,0.1983,0.16238,0.16641,-5.0401,-5.434e-05
0.17,0.20963,0.17174,0.17577,-5.0401,-5.8801e-05
0.175,0.22123,0.1815,0.18553,-5.0401,-6.2997e-05
0.18,0.2331,0.19167,0.1957,-5.0401,-6.6928e-05
0.185,0.24524,0.20224,0.20627,-5.0401,-7.0598e-05
0.19,0.25764,0.2132,0.21722,-5.0401,-7.4011e-05
0.195,0.27031,0.22454,0.22856,-5.0401,-7.7172e-05
0.2,0.28324,0.23625,0.24028,-5.0401,-8.0088e-05
0.205,0.29643,0.24834,0.25236,-5.0401,-8.2767e-05
0.21,0.30987,0.26078,0.26481,-5.0401,-8.5217e-05
